Simulation results for substrates contain 30-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime

0   	1   	0.002929
1   	1   	0.011366
2   	1   	0.023750
3   	1   	0.077526
4   	1   	0.115368
5   	4   	0.443840
6   	4   	0.453828
7   	4   	0.428079
8   	3   	0.000417
9   	3   	0.000459
10   	3   	0.000479
11   	3   	0.000562
12   	3   	0.000624
13   	3   	0.000777
14   	3   	0.000653
15   	3   	0.001030
16   	3   	0.000960
17   	3   	0.001055
18   	3   	0.001158
19   	3   	0.001191
20   	3   	0.001576
21   	3   	0.001846
22   	3   	0.001474
23   	3   	0.001713
24   	3   	0.001405
25   	1   	0.002350
26   	1   	0.008631
27   	1   	0.064479
28   	4   	0.231272
29   	4   	0.395156
30   	4   	0.626022
31   	4   	0.499688
32   	3   	0.000431
33   	3   	0.000423
34   	3   	0.000485
35   	3   	0.000574
36   	3   	0.000606
37   	3   	0.000584
38   	3   	0.000636
39   	3   	0.000661
40   	3   	0.000796
41   	3   	0.001116
42   	3   	0.001100
43   	3   	0.000998
44   	3   	0.001257
45   	3   	0.001496
46   	3   	0.001419
47   	3   	0.001316
48   	3   	0.002093
49   	3   	0.001333
50   	1   	0.002929
51   	1   	0.006724
52   	1   	0.037034
53   	1   	0.180976
54   	1   	0.152623
55   	4   	0.235984
56   	4   	0.383633
57   	3   	0.284790
58   	3   	0.000454
59   	3   	0.000477
60   	3   	0.000560
61   	3   	0.000547
62   	3   	0.000637
63   	3   	0.000618
64   	3   	0.000679
65   	3   	0.000910
66   	3   	0.001240
67   	3   	0.001059
68   	3   	0.001028
69   	3   	0.001167
70   	3   	0.001311
71   	3   	0.001110
72   	3   	0.001149
73   	3   	0.001586
74   	3   	0.001498
75   	1   	0.001454
76   	1   	0.006425
77   	1   	0.048261
78   	4   	0.149613
79   	4   	0.381777
80   	4   	0.255643
81   	4   	0.249416
82   	3   	0.186197
83   	3   	0.000447
84   	3   	0.000471
85   	3   	0.000537
86   	3   	0.000604
87   	3   	0.000615
88   	3   	0.000653
89   	3   	0.000729
90   	3   	0.000701
91   	3   	0.000888
92   	3   	0.001091
93   	3   	0.001031
94   	3   	0.001187
95   	3   	0.001118
96   	3   	0.001455
97   	3   	0.001346
98   	3   	0.001710
99   	3   	0.001438
100   	1   	0.002006
101   	1   	0.005727
102   	1   	0.074285
103   	4   	0.144511
104   	4   	0.254611
105   	4   	0.290319
106   	4   	0.293499
107   	3   	0.000429
108   	3   	0.000433
109   	3   	0.000463
110   	3   	0.000614
111   	3   	0.000537
112   	3   	0.000546
113   	3   	0.000712
114   	3   	0.000730
115   	3   	0.000882
116   	3   	0.000801
117   	3   	0.000977
118   	3   	0.001148
119   	3   	0.001483
120   	3   	0.001002
121   	3   	0.001416
122   	3   	0.001300
123   	3   	0.001245
124   	3   	0.001777
125   	1   	0.001164
126   	1   	0.006494
127   	1   	0.078488
128   	4   	0.128758
129   	1   	0.154893
130   	4   	0.342266
131   	3   	0.066117
132   	3   	0.084329
133   	3   	0.000481
134   	3   	0.000560
135   	3   	0.000532
136   	3   	0.000564
137   	3   	0.000692
138   	3   	0.000687
139   	3   	0.000685
140   	3   	0.000693
141   	3   	0.000789
142   	3   	0.000965
143   	3   	0.001115
144   	3   	0.001083
145   	3   	0.001189
146   	3   	0.001394
147   	3   	0.001314
148   	3   	0.001500
149   	3   	0.001403
150   	1   	0.003007
151   	1   	0.018761
152   	4   	0.082958
153   	1   	0.187868
154   	4   	0.153511
155   	4   	0.251847
156   	4   	0.325215
157   	3   	0.000407
158   	3   	0.000431
159   	3   	0.000492
160   	3   	0.000530
161   	3   	0.000606
162   	3   	0.000701
163   	3   	0.000616
164   	3   	0.000674
165   	3   	0.001121
166   	3   	0.000836
167   	3   	0.001046
168   	3   	0.001299
169   	3   	0.001148
170   	3   	0.001093
171   	3   	0.001273
172   	3   	0.001202
173   	3   	0.002193
174   	3   	0.001315
175   	1   	0.003208
176   	1   	0.008314
177   	4   	0.113431
178   	4   	0.118317
179   	4   	0.165112
180   	4   	0.320885
181   	4   	0.317466
182   	3   	0.000460
183   	3   	0.000422
184   	3   	0.000458
185   	3   	0.000529
186   	3   	0.000743
187   	3   	0.000576
188   	3   	0.000742
189   	3   	0.000652
190   	3   	0.000837
191   	3   	0.001053
192   	3   	0.001035
193   	3   	0.001117
194   	3   	0.001169
195   	3   	0.001289
196   	3   	0.001135
197   	3   	0.001147
198   	3   	0.001532
199   	3   	0.001503
200   	1   	0.004465
201   	1   	0.024406
202   	1   	0.074198
203   	4   	0.075746
204   	4   	0.192497
205   	4   	0.208262
206   	4   	0.149464
207   	3   	0.000461
208   	3   	0.000383
209   	3   	0.000508
210   	3   	0.000649
211   	3   	0.000596
212   	3   	0.000667
213   	3   	0.000675
214   	3   	0.000736
215   	3   	0.000914
216   	3   	0.000801
217   	3   	0.000832
218   	3   	0.000969
219   	3   	0.001036
220   	3   	0.001008
221   	3   	0.001090
222   	3   	0.001299
223   	3   	0.001690
224   	3   	0.001826
225   	1   	0.005420
226   	4   	0.031360
227   	4   	0.124818
228   	4   	0.128427
229   	4   	0.085507
230   	4   	0.204219
231   	4   	0.193457
232   	3   	0.000411
233   	3   	0.000403
234   	3   	0.000451
235   	3   	0.000517
236   	3   	0.000537
237   	3   	0.000606
238   	3   	0.000651
239   	3   	0.000699
240   	3   	0.000708
241   	3   	0.000983
242   	3   	0.000926
243   	3   	0.000910
244   	3   	0.001079
245   	3   	0.001080
246   	3   	0.001178
247   	3   	0.001598
248   	3   	0.002097
249   	3   	0.002487
250   	1   	0.006273
251   	1   	0.022641
252   	4   	0.091457
253   	4   	0.141388
254   	4   	0.088267
255   	4   	0.241695
256   	3   	0.000394
257   	3   	0.000408
258   	3   	0.000460
