Simulation results for substrates contain 70-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime

0   	1   	0.012567
1   	1   	0.052290
2   	1   	0.112318
3   	1   	0.223287
4   	1   	0.241126
5   	1   	0.682128
6   	1   	0.851513
7   	1   	0.528695
8   	1   	1.349556
9   	4   	5.453615
10   	1   	2.354871
11   	4   	9.308367
12   	4   	9.361260
13   	4   	12.274299
14   	4   	3.180843
15   	3   	0.001935
16   	3   	0.001834
17   	3   	0.001925
18   	3   	0.002144
19   	3   	0.002092
20   	3   	0.002487
21   	3   	0.002743
22   	3   	0.002368
23   	3   	0.002598
24   	3   	0.002290
25   	1   	0.010446
26   	1   	0.044204
27   	1   	0.296446
28   	1   	0.404795
29   	1   	1.249724
30   	1   	1.641696
31   	1   	2.258519
32   	4   	4.860941
33   	1   	2.389129
34   	4   	7.160978
35   	4   	7.530444
36   	4   	8.096415
37   	4   	7.796504
38   	4   	9.479731
39   	4   	8.754217
40   	4   	5.164749
41   	3   	0.001998
42   	3   	0.001921
43   	3   	0.001865
44   	3   	0.002143
45   	3   	0.002299
46   	3   	0.002297
47   	3   	0.002127
48   	3   	0.003013
49   	3   	0.002167
50   	1   	0.011605
51   	1   	0.032626
52   	1   	0.091660
53   	1   	0.637230
54   	1   	0.812225
55   	1   	1.538715
56   	1   	4.016540
57   	4   	3.605925
58   	4   	4.569961
59   	4   	2.261882
60   	4   	6.840218
61   	4   	6.871635
62   	4   	5.301521
63   	4   	6.434480
64   	4   	5.255826
65   	3   	0.001731
66   	3   	0.002065
67   	3   	0.001919
68   	3   	0.001925
69   	3   	0.002003
70   	3   	0.002172
71   	3   	0.001903
72   	3   	0.002013
73   	3   	0.002406
74   	3   	0.002387
75   	1   	0.019230
76   	1   	0.126723
77   	1   	0.545091
78   	1   	0.858965
79   	4   	2.144019
80   	4   	1.662095
81   	1   	2.092313
82   	1   	2.844300
83   	4   	3.472475
84   	4   	4.359206
85   	4   	3.878139
86   	3   	3.883101
87   	3   	1.619560
88   	3   	3.410490
89   	3   	1.900759
90   	3   	2.073538
91   	3   	0.001710
92   	3   	0.001870
93   	3   	0.001860
94   	3   	0.002028
95   	3   	0.001974
96   	3   	0.002344
97   	3   	0.002220
98   	3   	0.002583
99   	3   	0.002322
100   	1   	0.010821
101   	1   	0.030592
102   	1   	0.350924
103   	1   	0.319176
104   	4   	2.041842
105   	4   	2.674144
106   	4   	2.545307
107   	4   	2.774624
108   	4   	3.157057
109   	4   	3.689058
110   	4   	4.767802
111   	4   	4.966615
112   	4   	3.806234
113   	3   	1.931545
114   	3   	1.892544
115   	3   	0.001728
116   	3   	0.001616
117   	3   	0.001773
118   	3   	0.001935
119   	3   	0.002312
120   	3   	0.001782
121   	3   	0.002234
122   	3   	0.002142
123   	3   	0.002082
124   	3   	0.002663
125   	1   	0.009903
126   	1   	0.031453
127   	1   	0.084101
128   	4   	0.959768
129   	1   	0.316522
130   	4   	2.635501
131   	4   	2.174550
132   	4   	2.645190
133   	4   	3.873674
134   	4   	3.091636
135   	4   	3.725735
136   	4   	2.852625
137   	3   	1.629471
138   	3   	1.889678
139   	3   	3.741382
140   	3   	2.570725
141   	3   	0.001590
142   	3   	0.001750
143   	3   	0.001921
144   	3   	0.001853
145   	3   	0.002052
146   	3   	0.002187
147   	3   	0.002161
148   	3   	0.002313
149   	3   	0.002303
150   	1   	0.008697
151   	1   	0.032154
152   	1   	0.236835
153   	1   	1.557779
154   	4   	1.108765
155   	4   	1.719855
156   	4   	2.705886
157   	4   	2.418710
158   	4   	1.418321
159   	3   	4.982255
160   	3   	3.248975
161   	3   	3.863619
162   	3   	3.338875
163   	3   	4.515428
164   	3   	1.517548
165   	3   	0.002039
166   	3   	0.001616
167   	3   	0.001860
168   	3   	0.002143
169   	3   	0.001953
170   	3   	0.002199
171   	3   	0.002188
172   	3   	0.002033
173   	3   	0.003097
174   	3   	0.002177
175   	1   	0.009559
176   	1   	0.035285
177   	1   	0.644104
178   	1   	0.766367
179   	4   	1.189154
180   	1   	2.407237
181   	4   	2.392179
182   	1   	1.357229
183   	4   	3.224553
184   	4   	3.812612
185   	3   	3.007791
186   	3   	0.758502
187   	3   	2.559414
188   	3   	0.001463
189   	3   	1.460752
190   	3   	0.001618
191   	3   	0.001922
192   	3   	0.001880
193   	3   	0.001964
194   	3   	0.001970
195   	3   	0.002125
196   	3   	0.001927
197   	3   	0.001950
198   	3   	0.002419
199   	3   	0.002380
200   	1   	0.014225
201   	1   	0.033904
202   	1   	0.086127
203   	4   	0.952472
204   	4   	1.386352
205   	4   	1.590833
206   	4   	1.446748
207   	4   	3.300680
208   	4   	2.535241
209   	4   	1.376869
210   	3   	1.139367
211   	3   	2.368483
212   	3   	1.324926
213   	3   	0.394674
214   	3   	0.001414
215   	3   	0.001740
216   	3   	0.001561
217   	3   	0.001553
218   	3   	0.001709
219   	3   	0.001835
220   	3   	0.001786
221   	3   	0.001852
222   	3   	0.002091
223   	3   	0.002510
224   	3   	0.002624
225   	1   	0.009436
226   	1   	0.028799
227   	1   	1.011604
228   	4   	0.821614
229   	4   	0.910911
230   	4   	1.572020
231   	4   	2.312059
232   	4   	2.210414
233   	4   	3.148377
234   	3   	2.375015
235   	3   	1.205054
236   	3   	3.356359
237   	3   	0.490431
238   	3   	1.692005
239   	3   	0.001349
240   	3   	0.001313
241   	3   	0.001919
242   	3   	0.001710
243   	3   	0.001587
244   	3   	0.001833
245   	3   	0.001814
246   	3   	0.001886
247   	3   	0.002381
248   	3   	0.002986
249   	3   	0.003352
250   	1   	0.017476
251   	1   	0.088488
252   	1   	0.222652
253   	4   	0.990147
254   	4   	0.687171
255   	4   	1.962406
256   	4   	1.676832
257   	4   	2.209742
258   	3   	1.996664
259   	3   	2.852467
260   	3   	3.041220
261   	3   	2.276095
262   	3   	0.001406
263   	3   	1.036410
264   	3   	0.815084
265   	3   	0.001809
266   	3   	0.001846
267   	3   	0.001776
268   	3   	0.001967
269   	3   	0.001930
270   	3   	0.002095
271   	3   	0.002018
272   	3   	0.002119
273   	3   	0.002487
274   	3   	0.002802
275   	1   	0.014224
276   	1   	0.038088
277   	1   	0.256442
278   	4   	0.571583
279   	4   	1.469571
280   	4   	1.099641
281   	4   	2.300300
282   	4   	2.800050
283   	4   	1.504596
284   	3   	2.316266
285   	3   	0.895180
286   	3   	3.182238
287   	3   	0.656805
288   	3   	1.039667
289   	3   	0.001463
290   	3   	0.001511
291   	3   	0.001514
292   	3   	0.001506
293   	3   	0.001694
294   	3   	0.001732
295   	3   	0.001859
296   	3   	0.001833
297   	3   	0.002163
298   	3   	0.002931
299   	3   	0.002321
300   	1   	0.105550
301   	1   	0.112264
302   	4   	0.831252
303   	4   	0.581167
304   	4   	1.204460
305   	4   	1.610366
306   	4   	1.695871
307   	4   	2.504852
308   	4   	2.301756
309   	3   	3.050689
310   	3   	3.062453
311   	3   	2.224430
312   	3   	1.094676
313   	3   	0.001359
314   	3   	0.891151
315   	3   	0.001445
316   	3   	0.001594
317   	3   	0.001671
318   	3   	0.001884
319   	3   	0.001674
320   	3   	0.001775
321   	3   	0.001951
322   	3   	0.002468
323   	3   	0.002785
324   	3   	0.002302
325   	1   	0.009048
326   	1   	0.139624
327   	1   	0.413872
328   	1   	0.369044
329   	4   	0.788684
330   	4   	1.478539
331   	4   	2.175099
332   	4   	2.445268
333   	4   	2.789013
334   	3   	1.250073
335   	3   	2.372327
336   	3   	0.986200
337   	3   	0.783017
338   	3   	0.001539
