Simulation results for substrates contain 20-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime

0   	1   	0.001508
1   	1   	0.009981
2   	1   	0.042110
3   	4   	0.115151
4   	4   	0.136668
5   	3   	0.000259
6   	3   	0.000373
7   	3   	0.000295
8   	3   	0.000295
9   	3   	0.000338
10   	3   	0.000403
11   	3   	0.000466
12   	3   	0.000502
13   	3   	0.000612
14   	3   	0.000573
15   	3   	0.000912
16   	3   	0.000827
17   	3   	0.000960
18   	3   	0.001053
19   	3   	0.001081
20   	3   	0.001466
21   	3   	0.001734
22   	3   	0.001372
23   	3   	0.001610
24   	3   	0.001303
25   	1   	0.001512
26   	1   	0.007358
27   	4   	0.063427
28   	4   	0.077341
29   	4   	0.135956
30   	3   	0.000271
31   	3   	0.000259
32   	3   	0.000308
33   	3   	0.000303
34   	3   	0.000410
35   	3   	0.000460
36   	3   	0.000519
37   	3   	0.000463
38   	3   	0.000536
39   	3   	0.000519
40   	3   	0.000666
41   	3   	0.000976
42   	3   	0.000969
43   	3   	0.000869
44   	3   	0.001119
45   	3   	0.001345
46   	3   	0.001281
47   	3   	0.001164
48   	3   	0.001931
49   	3   	0.001172
50   	1   	0.001234
51   	1   	0.006590
52   	1   	0.053679
53   	4   	0.079268
54   	4   	0.142491
55   	3   	0.000258
56   	3   	0.000281
57   	3   	0.000284
58   	3   	0.000377
59   	3   	0.000377
60   	3   	0.000457
61   	3   	0.000483
62   	3   	0.000530
63   	3   	0.000533
64   	3   	0.000570
65   	3   	0.000787
66   	3   	0.001143
67   	3   	0.000946
68   	3   	0.000932
69   	3   	0.001024
70   	3   	0.001167
71   	3   	0.000991
72   	3   	0.001052
73   	3   	0.001452
74   	3   	0.001379
75   	1   	0.002233
76   	1   	0.008614
77   	4   	0.041139
78   	4   	0.059695
79   	4   	0.105126
80   	3   	0.000246
81   	3   	0.000246
82   	3   	0.000270
83   	3   	0.000345
84   	3   	0.000365
85   	3   	0.000405
86   	3   	0.000542
87   	3   	0.000497
88   	3   	0.000553
89   	3   	0.000600
90   	3   	0.000595
91   	3   	0.000766
92   	3   	0.000983
93   	3   	0.000955
94   	3   	0.001084
