Simulation results for substrates contain 60-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime
284   	4   	0.745758
285   	3   	0.739307
286   	4   	0.979213
287   	3   	0.001144
288   	3   	0.859543
289   	3   	0.001216
290   	3   	0.001400
291   	3   	0.001420
292   	3   	0.001309
293   	3   	0.001560
294   	3   	0.001526
295   	3   	0.001763
296   	3   	0.001603
297   	3   	0.001931
298   	3   	0.002651
299   	3   	0.002031
300   	1   	0.033472
301   	1   	0.029262
302   	4   	0.628694
303   	4   	0.480310
304   	4   	1.301870
305   	4   	1.547131
306   	4   	1.406288
307   	4   	1.709745
308   	4   	1.681315
309   	4   	1.240177
310   	4   	1.210262
311   	4   	0.866517
312   	4   	1.225352
313   	3   	0.001250
314   	3   	0.001127
315   	3   	0.001239
316   	3   	0.001327
317   	3   	0.001350
318   	3   	0.001668
319   	3   	0.001572
320   	3   	0.001753
321   	3   	0.001750
322   	3   	0.002114
323   	3   	0.002499
324   	3   	0.001939
325   	1   	0.007505
326   	1   	0.104412
327   	1   	0.104813
328   	4   	0.456789
329   	4   	0.754252
330   	4   	1.250564
331   	4   	1.715226
332   	4   	1.973312
333   	4   	2.108943
334   	4   	0.772634
335   	4   	1.054082
336   	4   	1.033356
337   	3   	0.498149
338   	3   	0.001374
339   	3   	0.001159
340   	3   	0.001340
341   	3   	0.001301
342   	3   	0.001335
343   	3   	0.001611
344   	3   	0.001517
345   	3   	0.001757
346   	3   	0.001905
347   	3   	0.001797
348   	3   	0.001852
349   	3   	0.002095
350   	1   	0.010482
351   	4   	0.164007
352   	4   	0.493648
353   	1   	0.451272
354   	4   	0.803738
355   	4   	1.006410
356   	4   	1.012680
357   	4   	1.019434
358   	4   	0.771079
359   	4   	0.680495
360   	4   	0.840248
361   	3   	0.001062
362   	3   	0.001088
363   	3   	0.001145
364   	3   	0.001315
365   	3   	0.001181
366   	3   	0.001489
367   	3   	0.001583
368   	3   	0.001535
369   	3   	0.001571
370   	3   	0.001562
371   	3   	0.001949
372   	3   	0.001964
373   	3   	0.002102
374   	3   	0.001886
375   	1   	0.019652
376   	4   	0.107127
377   	4   	0.424509
378   	4   	0.450737
379   	4   	0.568661
380   	4   	1.071774
381   	4   	1.142564
382   	4   	1.400212
383   	4   	1.264804
384   	4   	1.231047
385   	4   	0.668843
386   	4   	0.777731
387   	4   	0.708620
388   	3   	0.001105
389   	3   	0.001277
390   	3   	0.001129
391   	3   	0.001234
392   	3   	0.001530
393   	3   	0.001665
394   	3   	0.002107
395   	3   	0.001641
396   	3   	0.001576
397   	3   	0.001995
398   	3   	0.001895
399   	3   	0.002093
400   	1   	0.008785
401   	1   	0.099464
402   	4   	0.522712
403   	4   	0.303419
404   	4   	0.673871
405   	4   	0.974178
