Simulation results for substrates contain 40-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime

0   	1   	0.006227
1   	1   	0.018059
2   	1   	0.037182
3   	1   	0.193310
4   	1   	0.244008
5   	1   	0.778653
6   	4   	1.168422
7   	4   	1.066116
8   	4   	1.285132
9   	4   	0.875302
10   	4   	1.453951
11   	3   	0.000762
12   	3   	0.000762
13   	3   	0.000956
14   	3   	0.000869
15   	3   	0.001176
16   	3   	0.001371
17   	3   	0.001236
18   	3   	0.001375
19   	3   	0.001400
20   	3   	0.001755
21   	3   	0.002107
22   	3   	0.001643
23   	3   	0.001933
24   	3   	0.001610
25   	1   	0.004411
26   	1   	0.032484
27   	1   	0.178851
28   	1   	0.076784
29   	1   	0.670622
30   	4   	1.119812
31   	4   	1.054665
32   	4   	1.327714
33   	4   	1.082933
34   	3   	0.000665
35   	3   	0.000744
36   	3   	0.000763
37   	3   	0.000768
38   	3   	0.000809
39   	3   	0.000874
40   	3   	0.000926
41   	3   	0.001279
42   	3   	0.001221
43   	3   	0.001142
44   	3   	0.001402
45   	3   	0.001620
46   	3   	0.001582
47   	3   	0.001457
48   	3   	0.002181
49   	3   	0.001460
50   	1   	0.003676
51   	1   	0.018545
52   	1   	0.053742
53   	1   	0.092258
54   	1   	0.223889
55   	4   	0.497526
56   	4   	1.204284
57   	4   	1.039917
58   	4   	0.543018
59   	3   	0.000666
60   	3   	0.000717
61   	3   	0.000701
62   	3   	0.000783
63   	3   	0.000771
64   	3   	0.000949
65   	3   	0.001072
66   	3   	0.001430
67   	3   	0.001236
68   	3   	0.001198
69   	3   	0.001312
70   	3   	0.001434
71   	3   	0.001290
72   	3   	0.001342
73   	3   	0.001745
74   	3   	0.001684
75   	1   	0.002990
76   	1   	0.013682
77   	1   	0.080766
78   	1   	0.257064
79   	4   	0.652477
80   	4   	0.595704
81   	4   	0.649651
82   	4   	0.812617
83   	4   	1.049783
84   	3   	0.204690
85   	3   	0.000745
86   	3   	0.000755
87   	3   	0.000760
88   	3   	0.000814
89   	3   	0.000866
90   	3   	0.000857
91   	3   	0.001084
92   	3   	0.001242
93   	3   	0.001179
94   	3   	0.001362
95   	3   	0.001284
96   	3   	0.001607
97   	3   	0.001533
98   	3   	0.001859
99   	3   	0.001602
100   	1   	0.006678
101   	1   	0.021091
102   	1   	0.137512
103   	4   	0.296646
104   	4   	0.599814
105   	4   	0.809566
106   	4   	0.760431
107   	4   	0.983102
108   	4   	0.489931
109   	3   	0.154227
110   	3   	0.000759
111   	3   	0.000752
112   	3   	0.000729
113   	3   	0.000864
114   	3   	0.000894
115   	3   	0.001111
116   	3   	0.000985
117   	3   	0.001145
118   	3   	0.001314
119   	3   	0.001617
120   	3   	0.001167
121   	3   	0.001661
122   	3   	0.001476
123   	3   	0.001417
124   	3   	0.001973
125   	1   	0.007592
126   	1   	0.011071
127   	1   	0.074808
128   	4   	0.251476
129   	1   	0.335286
130   	4   	0.840304
131   	4   	0.729492
132   	4   	0.862692
133   	4   	0.321648
134   	3   	0.000735
135   	3   	0.000692
136   	3   	0.000739
137   	3   	0.000874
138   	3   	0.000868
139   	3   	0.001151
140   	3   	0.000885
141   	3   	0.000933
142   	3   	0.001148
143   	3   	0.001244
144   	3   	0.001267
145   	3   	0.001350
146   	3   	0.001541
147   	3   	0.001483
148   	3   	0.001654
149   	3   	0.001578
150   	1   	0.003229
151   	1   	0.012791
152   	4   	0.184792
153   	4   	0.400223
154   	1   	0.474318
155   	4   	0.588857
156   	4   	0.903744
