Simulation results for substrates contain 80-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime

0   	1   	0.019790
1   	1   	0.062258
2   	1   	0.132740
3   	1   	0.279018
4   	1   	0.303325
5   	1   	0.436027
6   	1   	1.134965
7   	1   	1.202014
8   	1   	2.497407
9   	1   	3.283138
10   	1   	6.881902
11   	4   	13.925927
12   	4   	14.462512
13   	4   	18.673078
14   	4   	4.553681
15   	3   	0.002418
16   	4   	15.337698
17   	3   	0.002273
18   	3   	0.002635
19   	3   	0.002367
20   	3   	0.002807
21   	3   	0.003056
22   	3   	0.002762
23   	3   	0.002878
24   	3   	0.002584
25   	1   	0.022474
26   	1   	0.055250
27   	1   	0.153970
28   	1   	0.188168
29   	1   	0.748740
30   	1   	4.351726
31   	1   	1.601686
32   	1   	5.970226
33   	1   	6.251150
34   	4   	10.592519
35   	4   	9.476696
36   	4   	10.729832
37   	4   	10.680034
38   	4   	11.512426
39   	4   	11.174886
40   	4   	9.265257
41   	3   	0.002287
42   	3   	0.002207
43   	4   	9.280905
44   	3   	0.002488
45   	3   	0.002617
46   	3   	0.002553
47   	3   	0.002434
48   	3   	0.003271
49   	3   	0.002408
50   	1   	0.012018
51   	1   	0.044880
52   	1   	0.111413
53   	1   	0.298682
54   	1   	0.324179
55   	1   	1.204771
56   	1   	2.294951
57   	1   	3.406176
58   	4   	6.111568
59   	4   	2.932924
60   	4   	8.452966
61   	4   	9.073129
62   	4   	10.844759
63   	4   	9.623308
64   	4   	9.675166
65   	4   	5.221667
66   	3   	0.002421
67   	3   	0.002207
68   	3   	0.002137
69   	3   	0.002308
70   	3   	0.002419
71   	3   	0.002186
72   	3   	0.002290
73   	3   	0.002744
74   	3   	0.002681
75   	1   	0.011714
76   	1   	0.070811
77   	1   	0.505669
78   	1   	0.875711
79   	1   	2.427447
80   	1   	2.758016
81   	1   	2.569105
82   	1   	3.711862
83   	4   	4.947587
84   	4   	6.419112
85   	4   	5.562564
86   	4   	7.429691
87   	4   	2.842693
88   	4   	6.863995
89   	4   	5.169007
90   	4   	7.650233
91   	3   	0.001983
92   	3   	0.002184
93   	3   	0.002148
94   	3   	0.002242
95   	3   	0.002173
96   	3   	0.002553
97   	3   	0.002536
98   	3   	0.003014
99   	3   	0.002581
100   	1   	0.015382
101   	1   	0.057716
102   	1   	0.159349
103   	1   	0.558471
104   	1   	1.699840
105   	4   	3.342121
106   	4   	3.636931
107   	4   	4.844024
108   	4   	5.103246
109   	4   	5.504570
110   	4   	7.759648
111   	4   	7.199452
112   	4   	7.559493
113   	4   	6.594808
114   	4   	4.912194
115   	3   	0.001973
116   	3   	1.940767
117   	3   	0.002005
118   	3   	0.002212
119   	3   	0.002644
120   	3   	0.002081
121   	3   	0.002550
122   	3   	0.002458
123   	3   	0.002347
124   	3   	0.003061
125   	1   	0.010482
126   	1   	0.044674
127   	1   	0.101822
128   	1   	0.896709
129   	1   	0.394296
130   	4   	3.678915
131   	4   	3.087148
132   	4   	3.422998
133   	4   	4.865836
134   	4   	5.926237
135   	4   	7.108063
136   	4   	5.208909
137   	4   	7.071554
138   	4   	5.737959
139   	4   	7.490040
140   	4   	6.799265
141   	4   	4.224300
142   	3   	0.002310
143   	3   	0.002293
144   	3   	0.002245
145   	3   	0.002404
146   	3   	0.002561
147   	3   	0.002563
148   	3   	0.002779
149   	3   	0.002851
150   	1   	0.013763
151   	1   	0.045579
152   	1   	0.484312
153   	1   	0.254005
154   	4   	1.609770
155   	4   	2.723386
156   	4   	3.348451
157   	4   	4.149655
158   	4   	2.066312
159   	4   	6.576741
160   	4   	5.519125
161   	4   	6.573183
162   	4   	6.559564
163   	4   	7.415334
164   	4   	6.976311
165   	3   	0.002313
166   	3   	0.001853
167   	3   	0.002169
168   	3   	0.002396
169   	3   	0.002215
170   	3   	0.002138
171   	3   	0.002425
172   	3   	0.002295
173   	3   	0.003533
174   	3   	0.002458
175   	1   	0.012313
176   	1   	0.043571
177   	1   	0.165310
178   	1   	0.197745
179   	4   	1.946525
180   	4   	3.179602
181   	4   	3.193462
182   	4   	3.720204
183   	4   	5.264984
184   	4   	5.551155
185   	4   	6.015060
186   	4   	4.911423
187   	4   	6.112644
188   	4   	1.722066
189   	4   	5.735593
190   	3   	0.001893
191   	3   	0.002191
192   	3   	0.002107
193   	3   	0.002192
194   	3   	0.002281
195   	3   	0.002393
196   	3   	0.002203
197   	3   	0.002239
198   	3   	0.002718
199   	3   	0.002625
200   	1   	0.018394
201   	1   	0.040430
202   	1   	0.101685
203   	4   	1.523909
204   	4   	2.428515
205   	4   	3.591584
206   	4   	2.578229
207   	4   	5.060138
208   	4   	4.108153
209   	4   	2.762949
210   	4   	6.714211
211   	4   	5.674505
212   	4   	6.601438
213   	4   	2.567766
214   	4   	4.487304
215   	3   	0.001962
216   	3   	2.409332
217   	3   	2.592345
218   	3   	0.002006
219   	3   	0.002020
220   	3   	0.002061
221   	3   	0.002145
222   	3   	0.002327
223   	3   	0.002779
224   	3   	0.003129
225   	1   	0.016436
226   	1   	0.035151
227   	1   	0.174971
228   	4   	1.348227
229   	1   	1.124394
230   	4   	2.255317
231   	4   	3.387397
232   	4   	2.952397
233   	4   	4.454513
234   	4   	3.736855
235   	4   	2.640794
236   	4   	6.047594
237   	4   	1.955269
238   	4   	5.808216
239   	4   	5.556312
240   	4   	5.010609
241   	3   	0.002023
242   	3   	0.001854
243   	3   	0.001846
244   	3   	0.002039
245   	3   	0.002028
246   	3   	0.002166
247   	3   	0.002625
248   	3   	0.003158
249   	3   	0.003567
250   	1   	0.025010
251   	1   	0.044048
252   	1   	0.111779
253   	1   	0.958570
254   	4   	1.200778
255   	4   	2.467093
256   	4   	2.858595
257   	4   	3.581309
258   	4   	4.001507
259   	4   	6.128062
260   	4   	6.176878
261   	4   	7.414209
262   	4   	2.850406
263   	4   	7.112152
264   	4   	8.069520
265   	3   	0.002118
266   	3   	0.002166
267   	3   	0.002011
268   	3   	0.002312
269   	3   	0.002206
270   	3   	0.002335
271   	3   	0.002303
272   	3   	0.002449
273   	3   	0.002755
274   	3   	0.002891
275   	1   	0.016976
276   	1   	0.041843
277   	1   	0.102013
278   	1   	0.673745
279   	4   	2.220670
280   	4   	1.604365
281   	4   	4.078679
282   	4   	4.156764
283   	4   	2.151512
284   	4   	4.382598
285   	4   	5.677265
286   	4   	6.777808
287   	4   	5.841765
288   	4   	5.853757
289   	4   	4.316541
290   	3   	1.654272
291   	3   	0.001826
292   	3   	1.146454
293   	3   	0.001985
294   	3   	0.002063
295   	3   	0.002184
296   	3   	0.002100
297   	3   	0.002515
298   	3   	0.003357
299   	3   	0.002704
300   	1   	0.037954
301   	1   	0.037480
302   	1   	0.636098
303   	4   	0.871781
304   	4   	1.973563
305   	4   	2.203034
306   	4   	2.371335
307   	4   	3.736911
308   	4   	3.377102
309   	4   	5.864118
310   	4   	6.482278
311   	4   	4.585987
312   	4   	7.677418
313   	4   	6.712112
314   	4   	5.732357
315   	4   	3.844506
316   	4   	3.567845
317   	3   	0.001932
318   	3   	0.002085
319   	3   	0.001905
320   	3   	0.001984
321   	3   	0.002225
322   	3   	0.002657
323   	3   	0.002902
324   	3   	0.002444
325   	1   	0.011459
326   	1   	0.153003
327   	4   	0.800288
328   	1   	0.144450
329   	1   	1.300317
330   	4   	2.402217
331   	4   	3.352827
332   	4   	3.607404
333   	4   	5.186112
334   	4   	2.260098
335   	4   	6.054167
336   	4   	5.152103
337   	4   	5.339531
338   	3   	0.001865
339   	3   	4.977425
340   	3   	1.861040
341   	3   	2.250160
342   	3   	0.001805
343   	3   	0.002057
344   	3   	0.001922
345   	3   	0.002247
346   	3   	0.002362
347   	3   	0.002296
348   	3   	0.002330
349   	3   	0.002586
350   	1   	0.012932
351   	1   	0.135901
352   	4   	0.744185
353   	4   	0.792720
354   	4   	1.575159
355   	4   	1.833817
356   	4   	2.307490
357   	4   	2.646932
358   	4   	3.660523
359   	4   	5.206223
360   	4   	4.814266
361   	4   	5.495490
362   	4   	7.050007
363   	3   	3.535115
364   	3   	1.543036
365   	3   	2.928248
366   	3   	0.001944
367   	3   	0.001977
368   	3   	0.002011
369   	3   	0.002108
370   	3   	0.002055
371   	3   	0.002413
372   	3   	0.002502
373   	3   	0.002616
374   	3   	0.002466
375   	1   	0.034383
376   	1   	0.098752
377   	1   	0.398991
378   	4   	0.802697
379   	4   	1.149254
380   	4   	2.178355
381   	4   	2.965876
382   	4   	3.330527
383   	4   	4.229043
384   	4   	5.060778
385   	4   	4.872242
386   	4   	5.676482
387   	4   	5.992536
388   	4   	5.414689
389   	3   	1.883589
390   	3   	3.429961
391   	3   	1.465635
392   	3   	0.002029
393   	3   	0.002019
394   	3   	0.002581
395   	3   	0.002069
396   	3   	0.002032
397   	3   	0.002508
398   	3   	0.002401
399   	3   	0.002523
400   	1   	0.017650
401   	1   	0.047361
402   	1   	0.572742
403   	4   	0.520106
404   	4   	1.200873
405   	4   	1.910187
406   	4   	2.922342
407   	4   	3.730528
408   	4   	3.025222
409   	4   	5.033496
410   	4   	5.677678
411   	4   	4.872758
412   	4   	5.104663
413   	4   	5.168911
414   	3   	1.056141
415   	3   	3.636157
416   	3   	1.106105
417   	3   	1.167147
418   	3   	0.002456
419   	3   	0.002109
420   	3   	0.002386
421   	3   	0.002554
422   	3   	0.003352
423   	3   	0.002564
424   	3   	0.002652
425   	1   	0.014422
426   	1   	0.086416
427   	4   	0.800197
428   	1   	0.438824
429   	4   	1.981108
430   	4   	2.527813
431   	4   	2.167747
432   	4   	3.062179
433   	4   	5.379493
434   	4   	5.356203
435   	4   	2.499530
436   	3   	2.143390
437   	4   	4.292299
438   	4   	4.394349
439   	3   	3.474032
440   	3   	1.601729
441   	3   	0.001829
442   	3   	0.001686
443   	3   	0.001819
444   	3   	0.001996
445   	3   	0.002105
446   	3   	0.002298
447   	3   	0.002596
448   	3   	0.002313
449   	3   	0.002778
450   	1   	0.016008
451   	1   	0.044457
452   	4   	0.614048
453   	4   	1.657162
454   	1   	1.260736
455   	4   	2.831183
456   	4   	1.800230
457   	4   	3.065802
458   	4   	3.484923
459   	4   	4.715899
460   	4   	4.111663
461   	4   	4.072601
462   	4   	4.053508
463   	4   	3.672317
464   	4   	4.253058
465   	3   	3.277587
466   	3   	1.402939
467   	3   	0.002025
468   	3   	0.001810
469   	3   	0.002284
470   	3   	0.002753
471   	3   	0.002187
472   	3   	0.002301
473   	3   	0.002508
474   	3   	0.002751
475   	1   	0.013061
476   	1   	0.038297
477   	1   	0.414648
478   	1   	0.450607
479   	4   	1.255567
480   	4   	2.327918
481   	4   	2.467321
482   	4   	3.032945
483   	4   	2.526007
484   	4   	4.646706
485   	4   	3.959510
486   	4   	5.324126
487   	4   	4.204290
488   	4   	5.679729
489   	3   	0.774312
490   	3   	2.570785
491   	3   	1.192922
492   	3   	0.002024
493   	3   	0.002317
494   	3   	0.001979
495   	3   	0.002438
496   	3   	0.002510
497   	3   	0.002485
498   	3   	0.002604
499   	3   	0.002549
500   	1   	0.013968
501   	1   	0.050537
502   	1   	0.527985
503   	1   	0.198786
504   	4   	1.675248
505   	4   	1.976353
506   	4   	2.602567
507   	4   	3.138333
