Simulation results for substrates contain 90-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime

0   	1   	0.022108
1   	1   	0.083009
2   	1   	0.214751
3   	1   	0.401710
4   	1   	0.426157
5   	1   	0.602428
6   	1   	0.820337
7   	1   	1.627831
8   	1   	2.217188
9   	1   	3.096607
10   	1   	5.939922
11   	4   	22.773698
12   	1   	12.247685
13   	4   	32.842718
14   	4   	7.532261
15   	4   	26.683482
16   	4   	30.975610
17   	4   	27.331504
18   	4   	32.058751
19   	3   	0.003014
20   	3   	0.003072
21   	3   	0.003348
22   	3   	0.003000
23   	3   	0.003192
24   	3   	0.002926
25   	1   	0.020547
26   	1   	0.079601
27   	1   	0.216550
28   	1   	0.259592
29   	1   	0.520605
30   	1   	1.420984
31   	1   	2.821009
32   	1   	7.492794
33   	1   	3.900845
34   	1   	16.822417
35   	1   	16.690646
36   	4   	19.192325
37   	4   	16.980317
38   	4   	18.971912
39   	4   	19.392250
40   	4   	24.630342
41   	3   	4.872410
42   	3   	4.964381
43   	3   	13.037254
44   	3   	0.002752
45   	3   	0.002941
46   	3   	0.002885
47   	3   	0.002677
48   	3   	0.003530
49   	3   	0.002712
50   	1   	0.016558
51   	1   	0.057291
52   	1   	0.148638
53   	1   	0.194789
54   	1   	0.924198
55   	1   	1.550180
56   	1   	4.932188
57   	1   	4.856069
58   	1   	7.294025
59   	4   	5.086400
60   	4   	15.838161
61   	4   	15.660728
62   	4   	15.594062
63   	4   	15.018851
64   	4   	17.105344
65   	4   	14.216295
66   	3   	0.002634
67   	3   	0.002360
68   	3   	0.002313
69   	3   	0.002494
70   	3   	0.002634
71   	3   	0.002371
72   	3   	0.002466
73   	3   	0.002973
74   	3   	0.002858
75   	1   	0.016834
76   	1   	0.058710
77   	1   	0.267704
78   	1   	0.668658
79   	1   	1.282478
80   	4   	3.236798
81   	1   	1.758698
82   	4   	4.732623
83   	1   	0.971786
84   	4   	11.522642
85   	4   	9.700190
86   	4   	12.668147
87   	4   	4.698125
88   	4   	10.108104
89   	4   	11.819065
90   	4   	10.230077
91   	4   	10.107796
92   	3   	0.002453
93   	3   	0.002274
94   	3   	0.002472
95   	3   	0.002380
96   	3   	0.002799
97   	3   	0.002669
98   	3   	0.003043
99   	3   	0.002783
100   	1   	0.021748
101   	1   	0.052927
102   	1   	0.147591
103   	1   	1.328673
104   	1   	3.101075
105   	1   	4.392596
106   	1   	3.177359
107   	4   	7.542741
108   	4   	9.083704
109   	4   	9.061224
110   	4   	10.967340
111   	4   	14.275684
112   	4   	11.598327
113   	4   	7.686064
114   	4   	6.423692
115   	4   	1.560714
116   	4   	4.256190
117   	3   	0.002263
118   	3   	0.002358
119   	3   	0.002803
120   	3   	0.002216
121   	3   	0.002691
122   	3   	0.002633
123   	3   	0.002478
124   	3   	0.003181
125   	1   	0.041689
126   	1   	0.059178
127   	1   	0.137712
128   	4   	1.190793
129   	1   	0.280980
130   	4   	4.432181
131   	4   	5.296964
132   	4   	5.883097
133   	4   	8.203887
134   	4   	8.259128
135   	4   	10.800961
136   	4   	9.088657
137   	4   	6.755562
138   	4   	6.047286
139   	4   	5.503918
140   	4   	6.453721
141   	4   	4.525776
142   	3   	3.016111
143   	3   	0.002314
144   	3   	0.002433
145   	3   	0.002512
146   	3   	0.002769
147   	3   	0.002673
148   	3   	0.002827
149   	3   	0.002697
150   	1   	0.027692
151   	1   	0.064217
152   	1   	0.770093
153   	4   	2.076311
154   	1   	2.201061
155   	1   	3.846643
156   	4   	5.220866
157   	4   	5.533172
158   	4   	2.885630
159   	4   	9.172212
160   	4   	8.483441
161   	4   	7.917713
162   	4   	5.674886
163   	4   	12.572860
164   	4   	4.599957
165   	3   	0.002533
166   	3   	1.822929
167   	3   	0.002338
168   	3   	0.002557
169   	3   	0.002327
170   	3   	0.002265
171   	3   	0.002561
172   	3   	0.002471
173   	3   	0.003550
174   	3   	0.002568
175   	1   	0.022217
176   	1   	0.046420
177   	4   	1.218647
178   	4   	1.104049
179   	4   	2.620931
180   	1   	1.493974
181   	4   	4.530020
182   	4   	5.090225
183   	4   	7.309590
184   	4   	7.152634
185   	4   	9.050927
186   	4   	4.615811
187   	4   	9.441870
188   	3   	1.132641
189   	4   	4.253688
190   	3   	3.066836
191   	3   	0.002255
192   	3   	0.002247
193   	3   	0.002351
194   	3   	0.002413
195   	3   	0.002553
196   	3   	0.002334
197   	3   	0.002352
198   	3   	0.003016
199   	3   	0.002850
200   	1   	0.015343
201   	1   	0.058418
202   	1   	0.139445
203   	4   	1.676917
204   	4   	2.547208
205   	4   	3.739999
206   	4   	3.737502
207   	4   	6.750347
208   	4   	5.497266
209   	4   	3.624875
210   	4   	7.552274
211   	4   	8.623773
212   	4   	4.475920
213   	4   	1.798832
214   	3   	3.922772
215   	3   	2.569989
216   	3   	2.500769
217   	3   	2.157995
218   	3   	0.002134
219   	3   	0.002222
220   	3   	0.002219
221   	3   	0.002282
222   	3   	0.002513
223   	3   	0.003016
224   	3   	0.003215
225   	1   	0.029099
226   	1   	0.148255
227   	1   	0.214129
228   	4   	1.579238
229   	1   	1.313059
230   	1   	1.928027
231   	4   	4.837184
232   	4   	4.346718
233   	4   	6.921410
234   	4   	4.675852
235   	4   	3.029770
236   	4   	8.267523
237   	4   	1.458724
238   	4   	8.640286
239   	3   	3.215682
240   	3   	2.801109
241   	3   	0.002081
242   	3   	0.002070
243   	3   	0.002002
244   	3   	0.002252
245   	3   	0.002198
246   	3   	0.002267
247   	3   	0.002854
248   	3   	0.003380
249   	3   	0.003837
250   	1   	0.029056
251   	1   	0.057921
252   	1   	0.133018
253   	1   	1.481320
254   	4   	1.183032
255   	4   	3.009933
256   	4   	3.780513
257   	4   	4.990051
258   	4   	4.713522
259   	4   	6.647217
260   	4   	6.331308
261   	4   	7.298086
262   	3   	0.001822
263   	4   	5.670255
264   	4   	4.149638
265   	3   	0.002302
266   	3   	0.002150
267   	3   	0.002109
268   	3   	0.002369
269   	3   	0.002361
270   	3   	0.002536
271   	3   	0.002425
272   	3   	0.002583
273   	3   	0.002954
274   	3   	0.003085
275   	1   	0.024151
276   	1   	0.051888
277   	4   	0.664411
278   	4   	0.726337
279   	4   	2.580318
280   	4   	2.295014
281   	4   	5.936390
282   	4   	5.823676
283   	4   	2.957030
284   	4   	5.215495
285   	4   	5.967584
286   	4   	7.592798
287   	4   	3.802289
288   	4   	5.483607
289   	3   	1.053503
290   	3   	0.001874
291   	3   	0.001880
292   	3   	0.001858
293   	3   	0.002096
294   	3   	0.002137
295   	3   	0.002341
296   	3   	0.002201
297   	3   	0.002631
298   	3   	0.003433
299   	3   	0.002691
300   	1   	0.141852
301   	1   	0.061388
302   	4   	1.398131
303   	4   	1.067986
304   	4   	2.356124
305   	4   	3.018694
306   	4   	3.133467
307   	4   	4.492416
308   	4   	4.743509
309   	4   	6.408553
310   	4   	7.711289
311   	4   	5.536886
312   	4   	8.594378
313   	3   	3.405703
314   	4   	4.636956
315   	3   	0.001841
316   	3   	0.001822
317   	3   	0.001908
318   	3   	0.002248
319   	3   	0.002056
320   	3   	0.002089
321   	3   	0.002380
322   	3   	0.002869
323   	3   	0.003093
324   	3   	0.002624
325   	1   	0.018156
326   	1   	0.049510
327   	1   	0.539432
328   	4   	0.923675
329   	4   	1.394108
330   	4   	3.069035
331   	4   	4.643951
332   	4   	5.317628
333   	4   	7.301579
334   	4   	3.130018
335   	4   	6.983456
336   	4   	6.126397
337   	4   	5.207161
338   	3   	0.001977
339   	3   	1.173252
340   	3   	0.001880
341   	3   	0.001793
342   	3   	0.001916
343   	3   	0.002194
344   	3   	0.002035
345   	3   	0.002418
346   	3   	0.002489
347   	3   	0.002461
348   	3   	0.002501
349   	3   	0.002780
350   	1   	0.014406
351   	1   	0.058805
352   	4   	0.869186
353   	4   	0.990768
354   	4   	1.621293
355   	4   	2.223851
356   	4   	2.996390
357   	4   	4.337394
358   	4   	5.330690
359   	4   	5.964433
360   	4   	5.467215
361   	4   	5.008454
362   	4   	4.976366
363   	3   	1.299565
364   	3   	0.001851
365   	3   	1.031717
366   	3   	0.002088
367   	3   	0.002116
368   	3   	0.002097
369   	3   	0.002169
370   	3   	0.002245
371   	3   	0.002601
372   	3   	0.002753
373   	3   	0.002909
374   	3   	0.002578
375   	1   	0.015982
376   	4   	0.256867
377   	1   	0.527622
378   	4   	1.013399
379   	4   	1.653889
380   	4   	3.183070
381   	4   	4.077016
382   	4   	5.000893
383   	4   	6.542298
384   	4   	7.481305
385   	4   	5.908852
386   	4   	4.263577
387   	4   	3.847404
388   	4   	4.905638
389   	3   	0.001913
390   	3   	1.940144
391   	3   	1.625425
392   	3   	0.002178
393   	3   	0.002193
394   	3   	0.002824
395   	3   	0.002225
396   	3   	0.002271
397   	3   	0.002681
398   	3   	0.002572
399   	3   	0.002805
400   	1   	0.017465
401   	1   	0.064820
402   	4   	1.140677
403   	4   	0.560878
404   	4   	1.815957
405   	4   	2.411135
406   	4   	3.761135
